date,sales,onpromotion,dcoilwtico,transactions,is_national_holiday,precipitation_mm,is_payday,day_of_week,month,year
2013-01-01,0.0,0.0,93.14,4246.202702702703,1,6.5,0,1,1,2013
2013-01-02,716.0,0.0,93.14,4821.0,0,4.0,0,2,1,2013
2013-01-03,423.0,0.0,92.97,3618.0,0,4.5,0,3,1,2013
2013-01-04,494.0,0.0,93.12,4169.0,0,3.8,0,4,1,2013
2013-01-05,797.0,0.0,93.12,4921.0,1,1.8,0,5,1,2013
2013-01-06,1097.0,0.0,93.12,4925.0,0,1.0,0,6,1,2013
2013-01-07,538.0,0.0,93.2,3871.0,0,1.6,0,0,1,2013
2013-01-08,2356.0,0.0,93.21,3593.0,0,0.1,0,1,1,2013
2013-01-09,424.0,0.0,93.08,4006.0,0,3.4,0,2,1,2013
2013-01-10,310.0,0.0,93.81,3323.0,0,2.4,0,3,1,2013
2013-01-11,335.0,0.0,93.6,3873.0,0,10.4,0,4,1,2013
2013-01-12,548.0,0.0,93.6,4423.0,1,11.4,0,5,1,2013
2013-01-13,728.0,0.0,93.6,4676.0,0,8.1,0,6,1,2013
2013-01-14,268.0,0.0,94.27,3450.0,0,10.2,0,0,1,2013
2013-01-15,292.0,0.0,93.26,3527.0,0,8.1,1,1,1,2013
2013-01-16,412.0,0.0,94.28,4026.0,0,8.7,0,2,1,2013
2013-01-17,259.0,0.0,95.49,3412.0,0,10.4,0,3,1,2013
2013-01-18,297.0,0.0,95.61,3801.0,0,5.5,0,4,1,2013
2013-01-19,585.0,0.0,95.61,4656.0,0,2.2,0,5,1,2013
2013-01-20,711.0,0.0,95.61,4732.0,0,3.1,0,6,1,2013
2013-01-21,267.0,0.0,95.61,3508.0,0,4.4,0,0,1,2013
2013-01-22,2252.0,0.0,96.09,3349.0,0,4.2,0,1,1,2013
2013-01-23,286.0,0.0,95.06,3704.0,0,15.8,0,2,1,2013
2013-01-24,202.0,0.0,95.35,3121.0,0,15.1,0,3,1,2013
2013-01-25,297.0,0.0,95.15,3751.0,0,13.4,0,4,1,2013
2013-01-26,539.0,0.0,95.15,4812.0,0,8.3,0,5,1,2013
2013-01-27,631.0,0.0,95.15,4648.0,0,3.9,0,6,1,2013
2013-01-28,262.0,0.0,95.95,3392.0,0,4.9,0,0,1,2013
2013-01-29,226.0,0.0,97.62,3317.0,0,10.5,0,1,1,2013
2013-01-30,301.0,0.0,97.98,3852.0,0,3.1,0,2,1,2013
2013-01-31,234.0,0.0,97.65,3509.0,0,7.4,1,3,1,2013
2013-02-01,377.0,0.0,97.46,4064.0,0,13.2,0,4,2,2013
2013-02-02,771.0,0.0,97.46,5166.0,0,12.6,0,5,2,2013
2013-02-03,764.0,0.0,97.46,4736.0,0,14.8,0,6,2,2013
2013-02-04,357.0,0.0,96.21,3459.0,0,28.1,0,0,2,2013
2013-02-05,361.0,0.0,96.68,3568.0,0,16.1,0,1,2,2013
2013-02-06,382.0,0.0,96.44,3941.0,0,12.5,0,2,2,2013
2013-02-07,298.0,0.0,95.84,3678.0,0,11.3,0,3,2,2013
2013-02-08,274.0,0.0,95.71,4006.0,0,13.4,0,4,2,2013
2013-02-09,431.0,0.0,95.71,4133.0,0,25.5,0,5,2,2013
2013-02-10,336.0,0.0,95.71,3135.0,0,7.7,0,6,2,2013
2013-02-11,361.0,0.0,97.01,3243.0,1,18.3,0,0,2,2013
2013-02-12,413.0,0.0,97.48,3904.0,1,19.5,0,1,2,2013
2013-02-13,301.0,0.0,97.03,3860.0,0,10.7,0,2,2,2013
2013-02-14,3223.0,0.0,97.3,4043.0,0,21.4,0,3,2,2013
2013-02-15,297.0,0.0,95.95,3605.0,0,5.7,1,4,2,2013
2013-02-16,667.0,0.0,95.95,4770.0,0,9.3,0,5,2,2013
2013-02-17,539.0,0.0,95.95,3936.0,0,14.2,0,6,2,2013
2013-02-18,352.0,0.0,95.95,3586.0,0,10.7,0,0,2,2013
2013-02-19,279.0,0.0,96.69,3228.0,0,10.3,0,1,2,2013
2013-02-20,339.0,0.0,94.92,3800.0,0,4.3,0,2,2,2013
2013-02-21,191.0,0.0,92.79,3282.0,0,7.1,0,3,2,2013
2013-02-22,261.0,0.0,93.12,3638.0,0,11.8,0,4,2,2013
